latitude,longitude,blight_count,housing_quality_score,cluster
30.377558,-91.218979,2,90,3
30.377571,-91.108444,1,95,0
30.377588,-91.1035,1,95,0
30.378029,-91.016624,1,95,0
30.378708,-91.090805,1,95,0
30.378986,-91.072838,1,95,0
30.379051,-91.029221,1,95,0
30.379181,-91.072746,1,95,0
30.380074,-91.067879,1,95,0
30.380138,-91.072075,1,95,0
30.380226,-91.000252,1,95,0
30.380272,-91.071877,1,95,0
30.380318,-91.137543,1,95,0
30.380337,-91.128403,1,95,0
30.380402,-91.139389,1,95,0
30.380503,-91.105919,1,95,0
30.380751,-91.021843,1,95,0
30.380793,-91.030663,1,95,0
30.38088,-91.096832,1,95,0
30.381178,-91.120537,1,95,0
30.381302,-91.104866,1,95,0
30.381439,-91.111725,2,90,3
30.381826,-91.105019,1,95,0
30.381887,-91.105255,1,95,0
30.381914,-91.10524,1,95,0
30.381941,-91.121979,1,95,0
30.381966,-91.105186,1,95,0
30.38209,-91.067146,1,95,0
30.3822,-91.108589,4,80,4
30.382416,-91.154533,1,95,0
30.382488,-91.197533,1,95,0
30.382565,-91.113838,1,95,0
30.382811,-91.11232,1,95,0
30.382877,-91.110138,1,95,0
30.382929,-91.114059,3,85,3
30.383131,-91.070663,1,95,0
30.383268,-91.075394,1,95,0
30.383778,-91.014336,1,95,0
30.383858,-91.109093,1,95,0
30.384066,-91.003586,1,95,0
30.384159,-91.102203,1,95,0
30.38431,-91.111382,1,95,0
30.384573,-91.11174,1,95,0
30.384998,-91.109978,1,95,0
30.385271,-91.010208,1,95,0
30.385324,-91.108696,2,90,3
30.385345,-91.10244,1,95,0
30.385492,-91.112465,1,95,0
30.385698,-91.116844,1,95,0
30.385757,-91.178986,1,95,0
30.385817,-91.111305,1,95,0
30.385851,-91.108124,3,85,3
30.38587,-91.181366,1,95,0
30.385948,-91.125404,1,95,0
30.386009,-91.108498,1,95,0
30.386021,-91.111893,1,95,0
30.38615,-91.139854,1,95,0
30.38625,-91.140068,2,90,3
30.386311,-91.111565,1,95,0
30.386391,-91.019089,1,95,0
30.386463,-91.108879,1,95,0
30.386497,-91.10704,1,95,0
30.386688,-91.116241,1,95,0
30.387173,-91.111801,1,95,0
30.387192,-91.108391,1,95,0
30.387333,-91.108269,1,95,0
30.38736,-91.107719,1,95,0
30.38747,-91.108139,1,95,0
30.387527,-91.108223,1,95,0
30.387663,-91.108551,2,90,3
